aaaammdd	v25C	v3K	3KRL 	v3KPD	v3K4	v3K4-1	v3KS24	3KSN8	vP100	vP80	vPEBD	vPPCE	vPPE	vPPH	vPPIBO	vPPR	vPVC	vPVC5C	vPVCC	vPVCR	PVCBR	vTotalTon	vTotalCCarga	vTotal3K	vTotalPressao	vTotalPVC	vTotalPP	vTotalPE
01/07/2012	273,118737	91,42328	0	13,247436	0	2,996346	22,2867	0	270,702329	61,04467	0,648	173,491824	1,111143	0	14,860284	0,254452	83,041724	119,364726	0	0,104194	0	1127,695845	273,118737	129,953762	202,510644	605,583143	189,463251	332,394999
01/08/2012	216,470749	58,818549	0	8,992482	0	1,664814	9,381162	0	349,963936	21,266012	0,506	137,8734	0,767802	0	10,408074	15,47872	63,80355	127,135632	0	0	0	1022,530882	216,470749	78,857007	190,939182	486,266938	149,049276	371,735948
01/09/2012	264,8481336	67,021692	0	14,643848	0	3,329628	25,25814	0	153,911114	64,092332	0,11	191,346462	0,761343	0	13,942236	1,14366	81,421253	75,18801	0	0	0	957,0178516	264,8481336	110,253308	156,609263	531,7107046	206,050041	218,113446
01/10/2012	329,575246	59,725739	0	12,159403	0	1,20348	20,824176	0	141,5144596	55,45766	0	148,763838	3,243663	0	6,71466	3,07968	122,255794	154,2174972	0	3,708	0	1062,443296	329,575246	93,912798	280,1812912	703,6693352	158,722161	196,9721196
01/11/2012	198,6002568	38,810355	0	10,17042	0	0	19,330674	0	73,579396	34,8778	0,0275	141,847404	1,715109	0	10,357914	19,956732	62,473818	181,713593	0	3,708	0	797,1689717	198,6002568	68,311449	247,895411	514,8071167	153,920427	108,484696
01/12/2012	172,543695	30,33008	0	7,268322	0	0	15,774234	0	103,262502	17,971868	0,572	116,547642	0,291159	0	8,553024	12,539892	45,883192	56,710056	0	0,7416	0	588,989266	172,543695	53,372636	103,334848	329,251179	125,391825	121,80637
01/01/2013	265,278668	59,939482	0	15,837972	0	0,209472	20,82795	0	385,2349946	23,03005	0,286	206,354976	1,038423	0	16,72854	2,51498	101,397286	130,425546	0	0	0	1229,10434	265,278668	96,814876	231,822832	593,916376	224,121939	408,5510446
01/02/2013	257,442307	38,67218	0	7,107084	0	0,30087	18,860424	0	174,9447338	33,450806	0,231	178,393104	0,536952	0	14,425608	3,92362	73,631185	159,455994	0	9,366912	0	970,7427798	257,442307	64,940558	242,454091	564,836956	193,355664	208,6265398
01/03/2013	231,652792	77,171881	0	16,1970395	0	0,934326	15,606522	0	81,078002	23,046908	0,1055	184,479564	0,459912	0	15,494406	1,184	93,916314	155,98227	0	4,236286	0	901,5457225	231,652792	109,9097685	254,13487	595,6974305	200,433882	104,23041
01/04/2013	208,511067	62,810841	0	21,04468	12,957696	1,56981	15,72876	0	116,49541	16,302502	0,724	169,924908	0,44340412	1,42275	11,6058	1,45906	86,0617556	113,06022	0	0,563616	0	840,6862797	208,511067	114,111787	199,6855916	522,3084456	181,9741121	133,521912
01/05/2013	285,056249	84,045375	0	23,310144	0	11,308512	40,98372	0	162,509896	47,8025045	1,573	267,593976	1,69938	12,470065	11,909118	0,71418	151,046125	199,152952	0	2,3893	0	1303,564497	285,056249	159,647751	352,588377	797,292377	281,202474	211,8854005
01/06/2013	233,735595	64,337685	0	17,835263	0	1,215384	21,726702	0	213,0934052	45,592662	0,5155	195,773082	0,779196	0	11,01387	2,838	74,658354	178,099116	0	5,41368	0	1066,627494	233,735595	105,115034	258,17115	597,021779	207,566148	259,2015672
01/07/2013	297,4601244	92,973757	0	17,3215855	12,957696	8,283588	32,63118	0	279,47234	48,955044	0,8241	264,811242	4,004244	0	11,78613	2,61044	141,40169	167,471856	0	0,66744	0	1383,632457	297,4601244	164,1678065	309,540986	771,1689169	280,601616	329,251484
01/08/2013	168,844907	44,405615	0	11,93849	0	7,22088	8,460192	0	109,2380215	30,19544	0,1134	135,491676	0,159165	0	11,094468	0,05472	64,49638	52,5120114	0	0	0	644,2253659	168,844907	72,025177	117,0083914	357,8784754	146,745309	139,5468615
01/09/2013	336,281583	71,342584	0	7,850909	0	0,220638	25,650066	0	358,878189	33,423604	0,176	245,099646	0,808563	0	18,13773	1,512636	78,198476	131,666034	0	0	0	1309,246658	336,281583	105,064197	209,86451	651,21029	264,045939	392,477793
01/10/2013	349,9289426	90,06503	0	22,3430915	0	0	23,544576	0	485,424872	64,062516	0	275,18865	0,168846	0	19,08063	1,741	81,284514	210,548962	0	4,11588	0	1627,49751	349,9289426	135,9526975	295,949356	781,8309961	294,438126	549,487388
01/11/2013	325,1676518	67,833284	0	14,7173025	0	1,545552	20,862738	0	407,578198	54,10546	0,011	254,491236	0,544173	0	14,375724	20,648456	64,381652	266,8462566	0	0	0	1513,108684	325,1676518	104,9588765	331,2279086	761,3544369	269,411133	461,694658
01/12/2013	202,203233	35,725416	0	7,563236	0	0,427344	22,926354	0	212,2637575	19,331408	0,0547	184,154298	0,268104	0	11,53773	2,437508	52,581756	109,4648914	0	0	0	860,9397359	202,203233	66,64235	162,0466474	430,8922304	195,960132	231,6498655
01/01/2014	339,548812	74,350408	0	19,16603	0	0,90261	19,810002	0	373,865862	51,839388	0,055	215,605944	1,196694	0	14,344326	1,30674	85,302114	107,704728	0	4,00464	0	1309,003298	339,548812	114,22905	197,011482	650,789344	231,146964	425,76025
01/02/2014	280,7980946	101,471151	0	19,07593	0	0,438756	20,070648	0	178,063889	24,221008	0,1764	251,623896	0,552771	0	7,124274	0,37862	76,059836	136,9668288	0	0	0	1097,022102	280,7980946	141,056485	213,0266648	634,8812444	259,300941	202,461297
01/03/2014	295,779125	80,990225	0	8,317227	0	4,348818	18,099498	0	432,5758932	43,534212	0,5995	238,464906	0,407793	0	8,22564	2,19916	86,833906	164,69163	0	4,87784	0	1389,945373	295,779125	111,755768	256,403376	663,938269	247,098339	476,7096052
01/04/2014	249,020981	112,116227	0	15,84067	0	0	26,105436	0	143,710633	41,580244	0,836	197,924292	0,014766	0	12,47559	1,0214	99,337252	172,8015	0	0,6549	0	1073,439891	249,020981	154,062333	272,793652	675,876966	210,414648	186,126877
01/05/2014	285,224882	118,781559	0	16,552929	0	1,80522	32,144586	0	204,69889	46,543288	0,5335	272,71782	1,831527	0	16,033404	1,74566	91,761113	122,84505	0	0,2183	0	1213,437728	285,224882	169,284294	214,824463	669,333639	290,582751	251,775678
01/06/2014	249,767096	101,770606	0	16,7541645	0	0,320928	24,695778	0	144,8860268	29,392878	0,687	245,773818	0,182553	0	17,470026	1,29374	77,052915	66,220062	0	4,00464	0	980,2722313	249,767096	143,5414765	147,277617	540,5861895	263,426397	174,9659048
01/07/2014	337,932768	116,394013	0	26,0082365	0	0	14,20254	0	297,747629	38,540196	0,1154	257,592264	0,418629	0	16,667364	0,9674	97,166456	122,444856	0,000816	0	0	1326,198568	337,932768	156,6047895	219,612128	714,1496855	274,678257	336,403225
01/08/2014	130,514687	63,622782	0	11,484761	0	0	8,166738	0	94,25315	9,444512	0,132	138,176484	0,522597	0	10,084152	7,7132	30,278397	35,632588	0	0	0	540,026048	130,514687	83,274281	65,910985	279,699953	148,783233	103,829662
01/09/2014	348,706373	75,307859	0	15,327828	14,037504	0	33,05484	0	276,6730901	33,986958	0,0472	290,057718	0,15063	0	10,995126	3,32252	79,611426	116,826198	0,0001632	0	0	1298,105433	348,706373	137,728031	196,4377872	682,8721912	301,203474	310,7072481
01/10/2014	342,636893	78,060209	0	19,977446	2,159616	9,52704	17,79582	0	698,2315689	32,601874	0	258,031056	0,677337	0	14,20557	0,171	77,886351	77,399712	0,0001248	0	0	1629,361618	342,636893	127,520131	155,2861878	625,4432118	272,913963	730,8334429
01/11/2014	288,8929196	111,51189	0	16,1445045	0	0	22,562508	0	464,4599585	26,58222	0,55	243,97104	0,9078	0	14,366298	0,00212	55,78574	75,801726	0	0,01854	0	1321,557265	288,8929196	150,2189025	131,606006	570,7178281	259,245138	491,5921785
01/12/2014	255,9331997	84,68416	0	17,4641055	0	4,71312	13,492968	0	350,143202	40,88606	0,0275	179,04232	0,969405	0	11,173716	0,740544	38,0841612	63,5303836	0	6,00696	0	1066,891805	255,9331997	120,3543535	107,6215048	483,909058	191,185441	391,056762
01/01/2015	258,0137457	107,7453335	0	18,5653015	0	0,536772	22,737036	0	531,1068652	28,108662	0,0165	268,082472	2,380689	0	16,131492	1,86644	58,456991	71,37876	0	0	0	1385,12706	258,0137457	149,584443	129,835751	537,4339397	286,594653	559,2320272
01/02/2015	289,888077	104,195579	0	16,302911	0	9,52704	20,37345	0	262,408961	24,529236	0,3465	221,939304	1,981845	0	14,306406	4,060344	72,342084	98,1185612	0	0	0	1140,320298	289,888077	150,39898	170,4606452	610,7477022	238,227555	287,284697
01/03/2015	308,8362402	113,681232	0	22,595213	2,69952	8,01132	25,145328	0	329,1024385	28,744121	0,4844	328,916962	0,835089	0	14,387448	7,822396	98,769231	152,8012676	0	0	0	1442,832206	308,8362402	172,132613	251,5704986	732,5393518	344,139499	358,3309595
01/04/2015	272,825278	76,490647	0	13,558782	0	3,40986	23,831784	0	281,0221135	52,064944	0,325	268,482988	0,391851	0	17,766042	1,60184	88,228696	202,340525	0	4,048936	0	1306,389287	272,825278	117,291073	294,618157	684,734508	286,640881	333,4120575
01/05/2015	302,161294	133,550957	0	21,331752	0	12,87978	23,957448	0	309,823424	52,406706	0,7878	288,785034	0,829653	0	17,922546	4,12686	89,547869	218,846166	0,000312	2,00232	0	1478,959921	302,161294	191,719937	310,396667	804,277898	307,537233	363,01793
