ANOMES,E125SN4,V125SN4,E125SN8,V125SN8,E200SN4,V200SN4,E200SN8,V200SN8,E250SN4,V250SN4,E250SN8,V250SN8,E315SN4,V315SN4,E315SN8,V315SN8,E400SN4,V400SN4,E400SN8,V400SN4,E400SN8,V400SN8,E500SN4,V500SN8,E630SN4,V630SN4,E630SN8,V630SN8,E800SN4,V800SN4,E800SN8,V800SN8
2008-08,2640,7290,48240,27870,13968,38040,210216,171810,43944,34020,33144,34350,44976,36840,87000,93750,14520,15690,37512,15690,37512,48960,624,13140,7480,810,5232,8010,0,0,1728,900
2008-09,38688,36450,43992,66990,68424,80100,261264,382740,8472,26580,63192,94770,106944,101970,105888,157620,32760,23850,38568,23850,38568,81000,2688,21090,1680,2550,9624,10560,600,1080,1200,2850
2008-10,13852,15600,39528,48150,58032,75990,355092,384630,42456,31020,94068,76320,43488,63600,140532,125430,17520,19560,44856,19560,44856,60390,2496,20310,5952,8040,10860,9660,0,360,8544,5400
2008-11,5400,22740,34536,42840,51072,71400,135072,302520,12744,26580,112344,82230,48640,53340,166920,126480,31136,18690,100472,18690,100472,51330,3264,28080,5016,3960,25416,15180,696,870,17040,8790
2008-12,13440,18450,28128,26760,16944,33930,405948,238920,8880,10680,75600,33900,19056,25710,87780,83850,14784,9330,22596,9330,22596,45150,2760,28290,336,300,6252,4710,576,450,5760,1110
2009-01,15240,16710,28632,27120,59952,60510,201360,229260,24312,12990,83832,62910,198216,26370,180864,147960,84664,14100,57768,14100,57768,62040,32664,30780,29088,1410,20424,9030,13200,1080,20280,6240
2009-02,32808,18180,56544,42060,112056,53820,421664,221700,31920,22320,36696,18900,160704,89550,89184,68610,37056,7860,72720,7860,72720,51240,23880,12900,9552,5220,38520,16260,2976,3000,1080,3480
2009-03,30624,48270,67080,80940,114288,104190,369480,337770,21448,21990,172808,81150,67488,77880,307032,167160,98112,25230,84360,25230,84360,53250,600,10230,576,660,19368,12270,672,150,16152,6060
2009-04,13128,20970,42168,49410,78176,73690,393024,309270,14064,16710,135864,88770,90288,63810,257472,152370,16440,15690,97888,15690,97888,64230,9216,18780,2376,2580,9456,19710,336,630,4296,6210
2009-05,68952,28830,102312,88230,122712,74130,410544,330030,139336,24450,126480,61590,153768,70140,541212,169500,70952,30180,117216,30180,117216,61950,5736,16500,8664,6270,25320,13320,360,660,16152,6570
2009-06,22440,48390,62040,65820,70512,61290,882816,323340,44208,28350,100296,70530,166872,93450,225504,138240,52968,24660,71832,24660,71832,64470,13608,25470,4272,4020,28368,19440,0,0,11712,3840
2009-07,61296,48210,52752,49080,127672,115050,321720,278850,45016,34890,101736,55050,140112,104880,347856,177690,26736,28470,260280,28470,260280,88920,1680,48420,4896,2550,82464,37380,360,450,63696,28260
2009-08,11952,28530,30912,39180,72000,77490,193416,186570,38480,11310,70432,49590,91392,51330,191448,107220,63144,8310,73848,8310,73848,44640,5352,24930,6792,3600,20616,17940,0,0,13992,11460
2009-09,47352,56550,107904,80850,135384,156480,581536,497700,53512,57720,152952,76320,142152,72420,253136,188820,39288,28650,149400,28650,149400,61770,5520,11400,1200,240,15720,7470,0,0,1464,2400
2009-10,23400,43470,36648,70260,54312,85590,243048,342870,24024,20670,50136,47250,403584,111150,128904,120090,61968,28650,38688,28650,38688,42270,2640,18900,1056,420,10872,9600,0,0,6840,6510
2009-11,31176,30780,46992,51900,57256,44220,407904,246630,33816,21630,98880,53970,123216,100890,130944,72420,23472,20160,47280,20160,47280,32280,2880,8610,1608,1290,14160,11460,528,330,1752,2370
2009-12,95352,42120,32016,30450,162120,44760,210976,185280,9888,6270,78816,47520,75504,46170,186096,63180,45264,14430,87480,14430,87480,40230,3216,13590,1680,600,10752,3780,0,0,1440,420
2010-01,14016,28860,48456,35130,59184,79800,258680,170430,21960,14400,54744,56370,68880,49770,129144,114480,41952,5700,43488,5700,43488,52710,384,11880,528,570,13200,14700,816,510,1584,1470
2010-02,47424,39090,70296,49920,70680,58080,255744,231450,39600,11160,52464,73800,49656,33660,107208,152370,13280,19980,68720,19980,68720,38610,5928,10530,1488,1530,9312,7020,240,120,7392,2010
2010-03,7896,63240,43320,54750,88032,115080,227266,208680,35832,45270,49440,38160,83568,46800,237200,98700,35784,24720,123644,24720,123644,51930,2256,11010,14760,3150,46948,11760,0,0,2184,1080
2010-04,22224,49110,36792,41460,40752,69870,343296,222060,38688,19320,148416,43830,86496,60360,199680,83340,107448,44370,67128,44370,67128,45390,6768,10680,38352,10320,15408,13470,552,390,3432,300
2010-05,120600,86670,62136,82650,116736,121140,258432,356730,38016,36870,48768,45090,100896,71010,110976,129120,25776,35880,28464,35880,28464,41250,11376,8520,5424,4680,8832,5190,1008,240,1704,720
2010-06,8256,33540,32784,50070,64224,47970,133104,217770,34560,23610,52200,32010,47736,41010,176480,79740,23280,27120,110160,27120,110160,45930,3120,8370,1224,2820,13536,4350,96,60,5256,1440
2010-07,16368,31350,39816,50430,40512,47880,188112,185010,38560,22200,34296,43890,150504,56460,129456,104250,41448,23940,36192,23940,36192,58680,5208,10470,2496,5190,11592,9060,792,510,4800,3630
2010-08,10608,31710,24252,29115,47112,39360,90336,104250,38568,22500,35328,23700,117984,65730,72120,76920,33024,35340,30768,35340,30768,28380,7176,4380,19808,5490,5952,5040,72,90,912,690
2010-09,36216,62430,24600,30765,85464,88170,151944,153750,45048,22830,27216,18330,201696,113880,160744,101610,301896,23550,67680,23550,67680,36060,1608,9030,4752,5340,16608,6990,0,0,1560,480
2010-10,46032,46980,44136,39540,55776,50760,201696,196020,27072,20520,55296,29010,75480,99900,163224,103860,16488,16290,47184,16290,47184,30690,2664,6570,3939,7320,11784,9630,2688,1920,1128,180
2010-11,47136,78090,31584,38460,78432,89850,206928,174420,18600,14670,80640,46050,77200,55290,225864,83910,21264,17130,56280,17130,56280,29730,10944,13440,5568,5250,20792,13530,720,1320,936,480
2010-12,14592,43230,24936,29130,45504,48210,295992,234630,18192,14370,43080,26790,80872,27330,202680,46740,46608,10950,96504,10950,96504,29880,624,6450,3768,810,8160,2850,96,60,2352,960
2011-01,42360,32160,55008,31950,101040,87180,283416,232080,26784,17250,47928,36570,47016,27540,195048,143730,30384,30570,62640,30570,62640,53280,4120,15330,1824,5370,15360,10470,624,420,7296,1740
2011-02,12864,43860,19512,37680,41832,58860,87024,116970,19056,15030,50472,28590,69312,71670,74328,51480,8976,27090,64032,27090,64032,40410,4032,4320,2736,2700,5208,4170,96,60,5376,2550
2011-03,44592,59700,27456,57870,89136,55140,247800,181320,79200,34800,91488,39660,57120,43860,248064,117360,18648,19980,73224,19980,73224,44040,5184,6330,792,600,9528,4350,96,60,2400,3090
2011-04,79512,25320,23280,27930,58968,45390,96144,84420,12264,27390,23544,25260,57576,41910,133200,62220,30936,13380,71280,13380,71280,49230,744,12660,13056,3600,7200,7800,408,0,2832,420
2011-05,93936,74670,28200,29130,84624,67500,225360,140190,9888,9120,11760,12960,38592,36120,50648,81060,76272,12180,24384,12180,24384,27330,1392,9510,24,5910,7992,4920,0,510,1848,1410
2011-06,8232,37080,31056,30390,22608,39180,199380,131895,8088,10830,36204,26205,15408,20400,59148,51555,27360,32040,38940,32040,38940,20085,696,3630,1392,2550,53544,9240,144,60,96,120
2011-07,14928,34830,42944,54480,33024,62640,331592,160560,26424,6210,25632,23280,51960,34290,61464,42630,9744,13260,57624,13260,57624,21720,1320,3330,288,360,22536,6330,0,0,0,0
2011-08,21024,46770,24728,30900,46248,58140,109720,141270,10728,9870,33912,15030,37008,32790,68136,47670,318325,24240,37680,24240,37680,20670,576,4440,34776,9210,10584,16080,5328,540,984,1230
2011-09,43800,37680,81064,31320,54768,50820,643992,150930,26064,18660,70440,26490,57528,33840,106080,42570,19056,51870,52416,51870,52416,27030,5136,13320,9288,6570,9288,9840,24,1470,5712,1860
2011-10,17952,50220,13848,24690,24744,54900,158304,192870,13392,18870,26328,31440,24960,29640,88152,62280,14448,14670,47184,14670,47184,30900,3552,8190,1752,3900,17232,12930,576,2250,1176,1170
2011-11,29376,40620,75696,83550,30984,36900,242568,158580,9984,25590,33960,26820,23664,22260,91920,69930,12576,7980,47232,7980,47232,36330,336,10800,816,600,11056,5070,0,180,8160,3240
2011-12,47856,46320,27960,40290,36960,42780,121968,185520,6408,11310,15696,25380,7392,7680,37824,74940,1776,15630,13992,15630,13992,32820,528,7260,672,690,2616,14040,1176,0,3528,3270
